DIAG SET 1: ANN MEANS GLOBAL
 
TEST CASE: corey34 (yrs 2030-2049)
 
CONTROL CASE: b.e11.TSREFC2.f09.g16.ccmi23.003 (yrs 2030-2049)
 
Variable          corey34        b.e11.TSREFC2.f09.g16.ccmi23.003        corey34        RMSE
                                                            -b.e11.TSREFC2.f09.g16.ccmi23.003
RESTOM             0.718               1.040            -0.322         4.372
RESSURF            0.723               1.038            -0.315         3.270
SOLIN            340.267             340.267             0.000         0.000
AAM            1.408e+26           1.413e+26        -5.795e+23      -999.000
CHI_200            0.006               0.004             0.002         0.317
CLDHGH            29.111              29.012             0.099         1.228
CLDLOW            32.982              33.149            -0.167         1.284
CLDMED            16.017              15.870             0.147         0.991
CLDTOT            51.098              51.144            -0.046         1.280
EKE_850           30.739              30.426             0.313         1.195
EP             9.878e-05           4.600e-05         5.277e-05         0.279
FLNS              59.250              58.602             0.648         1.403
FLNSC             82.065              81.193             0.872         1.515
FLNT             233.259             234.449            -1.189         2.014
FLNTC            262.425             263.527            -1.102         1.340
FSDS             183.730             182.940             0.790         2.912
FSDSC            246.507             245.755             0.752         1.060
FSNS             158.937             160.092            -1.155         5.008
FSNSC            215.072             216.757            -1.685         6.659
FSNSC_ICE         54.122              54.944            -0.822         4.569
FSNSC_LAND       179.525             179.282             0.243         1.054
FSNT             233.978             235.489            -1.511         4.822
FSNTC            286.271             288.361            -2.090         6.451
ICEAREA           23.945              22.360             1.585         0.049
LHFLX             81.867              83.390            -1.522         4.582
LWCF              29.166              29.078             0.088         1.262
PRECT              2.806               2.859            -0.053         0.283
PRECT_LAND         2.371               2.373            -0.003         0.199
PRECT_OCEAN        3.107               3.178            -0.071         0.323
PREH2O            26.117              27.123            -1.006         1.350
PREH2O_OCEAN      30.371              31.521            -1.150         1.572
PSI_200           -0.035              -0.034            -0.001         0.120
PS               985.447             985.546            -0.099         0.429
PSL             1011.146            1011.227            -0.081         0.431
QFLX               2.806               2.859            -0.053         0.145
SHFLX             17.097              17.062             0.035         1.484
SNOWHLND          11.317              11.244             0.073         1.211
SST               20.587              21.133            -0.546         0.663
STRESS_MAG         0.068               0.067             0.001         0.005
SWCF             -52.293             -52.872             0.579         2.989
T_850            281.975             282.500            -0.525         0.600
TGCLDLWP         134.892             136.075            -1.183         7.559
TGCLDIWP          17.283              17.008             0.276         0.886
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS          -999.000            -999.000          -999.000      -999.000
AODDUST         -999.000            -999.000          -999.000      -999.000
TREFHT           287.867             288.399            -0.532         0.640
TS               288.548             289.087            -0.539         0.668
TS_LAND          282.852             283.287            -0.435         0.538
U_200             15.474              15.589            -0.115         0.882
VT_850             0.170               0.120             0.050         0.464
Z3_500            56.774              56.898            -0.124         0.137
