DIAG SET 1: DJF MEANS GLOBAL
 
TEST CASE: corey34 (yrs 2030-2049)
 
CONTROL CASE: b.e11.TSREFC2.f09.g16.ccmi23.003 (yrs 2030-2049)
 
Variable          corey34        b.e11.TSREFC2.f09.g16.ccmi23.003        corey34        RMSE
                                                            -b.e11.TSREFC2.f09.g16.ccmi23.003
RESTOM             7.935               8.687            -0.752         6.722
RESSURF            7.277               7.916            -0.639         6.379
SOLIN            350.496             350.496             0.000         0.000
AAM            1.483e+26           1.479e+26         4.523e+23      -999.000
CHI_200           -0.038              -0.036            -0.002         0.367
CLDHGH            28.455              28.426             0.028         1.952
CLDLOW            32.313              32.488            -0.175         1.685
CLDMED            16.180              16.111             0.069         1.437
CLDTOT            50.220              50.327            -0.106         1.918
EKE_850           27.713              27.590             0.123         1.717
EP             5.923e-03           7.973e-03        -2.050e-03         0.419
FLNS              58.847              58.082             0.765         1.874
FLNSC             81.645              80.621             1.024         1.827
FLNT             230.288             231.432            -1.144         2.669
FLNTC            258.960             260.062            -1.102         1.433
FSDS             191.320             190.136             1.184         4.566
FSDSC            256.823             255.951             0.872         1.487
FSNS             163.236             164.776            -1.540         7.688
FSNSC            221.751             224.290            -2.539         9.830
FSNSC_ICE         31.858              27.509             4.349         4.024
FSNSC_LAND       145.191             145.103             0.088         1.693
FSNT             238.224             240.119            -1.896         7.340
FSNTC            292.537             295.485            -2.948         9.513
ICEAREA           22.187              21.017             1.170         0.047
LHFLX             82.311              84.025            -1.714         6.087
LWCF              28.672              28.630             0.042         1.939
PRECT              2.812               2.870            -0.058         0.403
PRECT_LAND         2.311               2.333            -0.022         0.334
PRECT_OCEAN        3.151               3.220            -0.068         0.443
PREH2O            24.667              25.748            -1.081         1.556
PREH2O_OCEAN      29.795              31.064            -1.269         1.819
PSI_200           -0.002              -0.001            -0.001         0.126
PS               985.305             985.411            -0.106         0.661
PSL             1011.317            1011.406            -0.089         0.660
QFLX               2.818               2.878            -0.060         0.186
SHFLX             14.801              14.752             0.049         1.965
SNOWHLND          12.090              12.023             0.067         1.261
SST               20.583              21.149            -0.567         0.708
STRESS_MAG         0.073               0.071             0.002         0.008
SWCF             -54.313             -55.365             1.052         4.564
T_850            280.311             280.814            -0.503         0.620
TGCLDLWP         134.865             136.566            -1.701        10.850
TGCLDIWP          17.680              17.419             0.261         1.393
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS          -999.000            -999.000          -999.000      -999.000
AODDUST         -999.000            -999.000          -999.000      -999.000
TREFHT           285.935             286.454            -0.519         0.673
TS               286.566             287.089            -0.523         0.704
TS_LAND          276.132             276.526            -0.394         0.626
U_200             16.314              16.319            -0.005         1.033
VT_850            -0.651              -0.682             0.031         0.804
Z3_500            56.512              56.641            -0.129         0.149
