DIAG SET 1: JJA MEANS GLOBAL
 
TEST CASE: corey34 (yrs 2030-2049)
 
CONTROL CASE: b.e11.TSREFC2.f09.g16.ccmi23.003 (yrs 2030-2049)
 
Variable          corey34        b.e11.TSREFC2.f09.g16.ccmi23.003        corey34        RMSE
                                                            -b.e11.TSREFC2.f09.g16.ccmi23.003
RESTOM            -9.333              -9.488             0.155         3.440
RESSURF          -10.177             -10.378             0.201         5.598
SOLIN            330.385             330.385             0.000         0.000
AAM            1.186e+26           1.211e+26        -2.463e+24      -999.000
CHI_200            0.035               0.030             0.005         0.637
CLDHGH            30.463              30.316             0.147         2.167
CLDLOW            35.575              35.826            -0.251         1.877
CLDMED            16.033              15.819             0.215         1.625
CLDTOT            54.105              54.139            -0.034         1.986
EKE_850           28.271              28.128             0.143         1.694
EP             1.166e-02           1.201e-02        -3.475e-04         0.481
FLNS              57.936              57.309             0.627         2.013
FLNSC             81.356              80.538             0.818         1.808
FLNT             236.579             237.807            -1.227         3.019
FLNTC            266.587             267.691            -1.103         1.529
FSDS             171.353             170.904             0.449         4.335
FSDSC            235.494             234.823             0.671         1.182
FSNS             151.073             151.758            -0.685         4.389
FSNSC            208.588             209.373            -0.785         4.180
FSNSC_ICE         43.538              45.567            -2.029         7.827
FSNSC_LAND       215.163             214.693             0.470         1.651
FSNT             227.247             228.319            -1.072         4.183
FSNTC            281.064             282.294            -1.229         4.020
ICEAREA           24.932              23.079             1.853         0.071
LHFLX             83.892              85.360            -1.468         5.941
LWCF              30.008              29.884             0.124         2.217
PRECT              2.867               2.918            -0.051         0.474
PRECT_LAND         2.430               2.404             0.026         0.341
PRECT_OCEAN        3.160               3.239            -0.079         0.538
PREH2O            28.177              29.157            -0.980         1.399
PREH2O_OCEAN      31.008              32.129            -1.120         1.587
PSI_200           -0.074              -0.073            -0.001         0.235
PS               985.649             985.745            -0.096         0.584
PSL             1011.023            1011.100            -0.077         0.598
QFLX               2.879               2.930            -0.051         0.181
SHFLX             19.421              19.466            -0.045         2.362
SNOWHLND          10.291              10.230             0.062         1.214
SST               20.304              20.825            -0.522         0.633
STRESS_MAG         0.078               0.077             0.002         0.007
SWCF             -53.818             -53.975             0.157         3.884
T_850            283.907             284.461            -0.554         0.663
TGCLDLWP         141.381             142.147            -0.766        12.525
TGCLDIWP          16.390              16.116             0.274         1.434
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS          -999.000            -999.000          -999.000      -999.000
AODDUST         -999.000            -999.000          -999.000      -999.000
TREFHT           289.868             290.397            -0.529         0.667
TS               290.554             291.090            -0.535         0.698
TS_LAND          289.584             290.053            -0.469         0.618
U_200             13.200              13.559            -0.359         1.532
VT_850             1.009               0.939             0.070         0.758
Z3_500            57.129              57.253            -0.124         0.150
