DIAG SET 1: MAM MEANS GLOBAL
 
TEST CASE: corey34 (yrs 2030-2049)
 
CONTROL CASE: b.e11.TSREFC2.f09.g16.ccmi23.003 (yrs 2030-2049)
 
Variable          corey34        b.e11.TSREFC2.f09.g16.ccmi23.003        corey34        RMSE
                                                            -b.e11.TSREFC2.f09.g16.ccmi23.003
RESTOM             2.249               2.147             0.102         3.972
RESSURF           -0.609              -0.534            -0.075         5.078
SOLIN            338.254             338.254             0.000         0.000
AAM            1.576e+26           1.537e+26         3.905e+24      -999.000
CHI_200            0.014               0.008             0.006         0.422
CLDHGH            29.024              28.865             0.159         1.985
CLDLOW            31.289              31.447            -0.157         1.643
CLDMED            15.979              15.820             0.159         1.464
CLDTOT            49.639              49.715            -0.076         1.824
EKE_850           28.488              28.085             0.402         1.825
EP             1.973e-02           1.816e-02         1.573e-03         0.455
FLNS              60.744              60.042             0.702         1.938
FLNSC             82.924              82.007             0.917         1.872
FLNT             232.572             233.876            -1.305         2.940
FLNTC            262.036             263.173            -1.137         1.584
FSDS             185.540             184.801             0.739         3.775
FSDSC            244.394             243.716             0.678         1.078
FSNS             159.971             160.815            -0.844         4.890
FSNSC            212.565             213.838            -1.272         5.492
FSNSC_ICE         39.141              40.070            -0.928         3.620
FSNSC_LAND       190.340             190.283             0.056         2.158
FSNT             234.821             236.023            -1.202         4.669
FSNTC            283.900             285.568            -1.668         5.374
ICEAREA           23.502              22.102             1.400         0.055
LHFLX             81.859              83.377            -1.518         6.183
LWCF              29.464              29.296             0.168         2.038
PRECT              2.782               2.837            -0.055         0.443
PRECT_LAND         2.285               2.286            -0.001         0.345
PRECT_OCEAN        3.104               3.179            -0.075         0.494
PREH2O            25.702              26.739            -1.037         1.529
PREH2O_OCEAN      30.276              31.470            -1.194         1.752
PSI_200           -0.021              -0.021            -0.000         0.227
PS               985.406             985.508            -0.102         0.541
PSL             1011.136            1011.221            -0.085         0.535
QFLX               2.802               2.855            -0.053         0.189
SHFLX             17.977              17.929             0.047         2.045
SNOWHLND          12.476              12.374             0.102         1.306
SST               20.628              21.187            -0.559         0.704
STRESS_MAG         0.067               0.066             0.001         0.007
SWCF             -49.079             -49.545             0.466         3.414
T_850            281.891             282.442            -0.551         0.666
TGCLDLWP         128.866             129.749            -0.882        10.694
TGCLDIWP          17.773              17.414             0.359         1.364
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS          -999.000            -999.000          -999.000      -999.000
AODDUST         -999.000            -999.000          -999.000      -999.000
TREFHT           287.812             288.371            -0.559         0.721
TS               288.533             289.101            -0.569         0.755
TS_LAND          282.477             282.942            -0.466         0.652
U_200             17.019              16.762             0.257         1.378
VT_850             0.216               0.169             0.047         0.710
Z3_500            56.713              56.842            -0.129         0.152
