DIAG SET 1: ANN MEANS NORTHERN EXTRATROPICS (90N-20N)
 
TEST CASE: corey34 (yrs 2030-2049)
 
CONTROL CASE: b.e11.TSREFC2.f09.g16.ccmi23.003 (yrs 2030-2049)
 
Variable          corey34        b.e11.TSREFC2.f09.g16.ccmi23.003        corey34        RMSE
                                                            -b.e11.TSREFC2.f09.g16.ccmi23.003
RESTOM           -24.740             -25.316             0.576         1.400
RESSURF           -9.467              -9.404            -0.063         2.137
SOLIN            305.490             305.490             0.000         0.000
AAM           -9.990e+02          -9.990e+02        -9.990e+02      -999.000
CHI_200           -0.249              -0.072            -0.177         0.316
CLDHGH            25.121              25.176            -0.055         1.065
CLDLOW            30.225              30.622            -0.397         1.082
CLDMED            15.219              15.135             0.084         0.639
CLDTOT            46.240              46.527            -0.287         1.257
EKE_850           33.487              33.405             0.082         0.925
EP            -1.101e-02          -2.074e-02         9.726e-03         0.140
FLNS              64.950              64.758             0.192         1.201
FLNSC             88.229              88.100             0.130         1.003
FLNT             230.647             231.376            -0.729         1.566
FLNTC            254.460             255.194            -0.734         1.039
FSDS             166.418             165.881             0.537         2.140
FSDSC            219.178             218.845             0.333         0.554
FSNS             137.419             137.351             0.068         1.821
FSNSC            182.916             183.152            -0.236         1.574
FSNSC_ICE         46.747              49.664            -2.917         4.725
FSNSC_LAND       165.138             165.180            -0.042         1.199
FSNT             205.907             206.060            -0.153         1.652
FSNTC            247.865             248.339            -0.475         1.550
ICEAREA           11.695              11.256             0.439         0.031
LHFLX             60.140              60.243            -0.103         2.019
LWCF              23.813              23.818            -0.005         0.965
PRECT              2.061               2.076            -0.015         0.133
PRECT_LAND         1.674               1.678            -0.003         0.119
PRECT_OCEAN        2.650               2.673            -0.023         0.153
PREH2O            18.655              19.000            -0.345         0.591
PREH2O_OCEAN      24.771              25.245            -0.474         0.768
PSI_200           -6.612              -6.711             0.100         0.143
PS               976.695             976.943            -0.248         0.485
PSL             1015.613            1015.852            -0.240         0.483
QFLX               2.050               2.055            -0.006         0.061
SHFLX             21.796              21.754             0.042         1.159
SNOWHLND           4.400               4.275             0.125         1.551
SST               18.483              18.674            -0.191         0.291
STRESS_MAG         0.050               0.050             0.001         0.005
SWCF             -41.958             -42.280             0.322         1.760
T_850            278.917             279.212            -0.295         0.382
TGCLDLWP         125.146             126.753            -1.607         5.858
TGCLDIWP          19.324              19.226             0.098         0.710
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS          -999.000            -999.000          -999.000      -999.000
AODDUST         -999.000            -999.000          -999.000      -999.000
TREFHT           283.293             283.615            -0.322         0.486
TS               283.836             284.155            -0.319         0.501
TS_LAND          280.998             281.314            -0.316         0.461
U_200             18.162              18.544            -0.382         0.863
VT_850             0.286               0.279             0.007         0.525
Z3_500            56.504              56.592            -0.087         0.102
