DIAG SET 1: DJF MEANS NORTHERN EXTRATROPICS (90N-20N)
 
TEST CASE: corey34 (yrs 2030-2049)
 
CONTROL CASE: b.e11.TSREFC2.f09.g16.ccmi23.003 (yrs 2030-2049)
 
Variable          corey34        b.e11.TSREFC2.f09.g16.ccmi23.003        corey34        RMSE
                                                            -b.e11.TSREFC2.f09.g16.ccmi23.003
RESTOM          -103.450            -104.164             0.714         1.534
RESSURF          -75.705             -75.826             0.121         6.606
SOLIN            165.185             165.185             0.000         0.000
AAM           -9.990e+02          -9.990e+02        -9.990e+02      -999.000
CHI_200            3.361               3.456            -0.095         0.199
CLDHGH            25.708              26.141            -0.433         1.737
CLDLOW            26.942              27.506            -0.564         1.361
CLDMED            17.180              17.078             0.102         1.273
CLDTOT            44.252              44.835            -0.583         1.727
EKE_850           42.980              42.974             0.006         2.152
EP             1.683e-01           1.585e-01         9.858e-03         0.216
FLNS              65.365              65.076             0.288         1.558
FLNSC             88.340              88.231             0.109         1.253
FLNT             212.690             213.215            -0.525         1.697
FLNTC            235.376             236.148            -0.773         1.147
FSDS              91.403              91.012             0.391         1.702
FSDSC            116.704             116.575             0.129         0.348
FSNS              74.416              74.137             0.278         1.835
FSNSC             95.871              95.874            -0.003         1.287
FSNSC_ICE          1.671               1.639             0.032         0.234
FSNSC_LAND        77.927              78.025            -0.098         1.899
FSNT             109.240             109.051             0.189         1.632
FSNTC            129.919             130.032            -0.113         1.209
ICEAREA           14.042              13.794             0.248         0.027
LHFLX             67.516              67.786            -0.270         4.400
LWCF              22.686              22.934            -0.248         1.337
PRECT              2.091               2.112            -0.021         0.212
PRECT_LAND         1.079               1.103            -0.024         0.149
PRECT_OCEAN        3.422               3.432            -0.010         0.275
PREH2O            11.740              12.007            -0.267         0.487
PREH2O_OCEAN      18.681              19.100            -0.419         0.679
PSI_200           -8.123              -8.145             0.022         0.143
PS               977.124             977.524            -0.400         0.936
PSL             1017.385            1017.774            -0.389         0.953
QFLX               2.259               2.271            -0.011         0.138
SHFLX             17.240              17.101             0.139         2.398
SNOWHLND           5.876               5.763             0.113         1.628
SST               16.494              16.674            -0.181         0.277
STRESS_MAG         0.079               0.076             0.002         0.013
SWCF             -20.679             -20.981             0.302         1.287
T_850            271.078             271.338            -0.260         0.437
TGCLDLWP         119.145             121.683            -2.538         8.537
TGCLDIWP          23.704              23.692             0.012         1.546
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS          -999.000            -999.000          -999.000      -999.000
AODDUST         -999.000            -999.000          -999.000      -999.000
TREFHT           274.075             274.398            -0.323         0.592
TS               274.556             274.872            -0.316         0.608
TS_LAND          265.572             265.864            -0.292         0.602
U_200             25.282              25.666            -0.384         1.247
VT_850             0.410               0.428            -0.018         1.090
Z3_500            55.157              55.263            -0.106         0.151
