DIAG SET 1: JJA MEANS NORTHERN EXTRATROPICS (90N-20N)
 
TEST CASE: corey34 (yrs 2030-2049)
 
CONTROL CASE: b.e11.TSREFC2.f09.g16.ccmi23.003 (yrs 2030-2049)
 
Variable          corey34        b.e11.TSREFC2.f09.g16.ccmi23.003        corey34        RMSE
                                                            -b.e11.TSREFC2.f09.g16.ccmi23.003
RESTOM            52.098              51.921             0.177         3.042
RESSURF           54.528              54.994            -0.466         3.160
SOLIN            445.896             445.896             0.000         0.000
AAM           -9.990e+02          -9.990e+02        -9.990e+02      -999.000
CHI_200           -3.966              -3.731            -0.235         0.601
CLDHGH            25.149              25.078             0.071         1.874
CLDLOW            37.284              37.536            -0.252         1.876
CLDMED            13.482              13.451             0.031         1.275
CLDTOT            52.140              52.211            -0.071         2.017
EKE_850           19.127              19.535            -0.408         1.502
EP            -2.286e-01          -2.565e-01         2.791e-02         0.302
FLNS              59.925              59.813             0.112         2.342
FLNSC             84.339              84.094             0.244         1.763
FLNT             249.494             250.150            -0.656         2.763
FLNTC            274.670             275.284            -0.614         1.244
FSDS             233.158             232.482             0.676         5.204
FSDSC            320.110             319.642             0.468         1.307
FSNS             197.244             197.436            -0.192         4.333
FSNSC            273.051             273.681            -0.630         3.787
FSNSC_ICE        123.433             130.853            -7.420        13.501
FSNSC_LAND       257.059             256.950             0.109         1.794
FSNT             301.592             302.071            -0.479         3.835
FSNTC            370.708             371.663            -0.955         3.641
ICEAREA            9.153               8.634             0.519         0.047
LHFLX             54.901              54.666             0.235         3.569
LWCF              25.176              25.134             0.042         1.828
PRECT              2.150               2.173            -0.024         0.285
PRECT_LAND         2.439               2.426             0.013         0.299
PRECT_OCEAN        1.974               2.032            -0.058         0.287
PREH2O            27.897              28.340            -0.443         0.947
PREH2O_OCEAN      32.213              32.844            -0.630         1.107
PSI_200           -4.275              -4.542             0.266         0.303
PS               975.712             975.892            -0.180         0.613
PSL             1013.326            1013.499            -0.173         0.620
QFLX               1.921               1.917             0.004         0.104
SHFLX             27.890              27.963            -0.073         1.902
SNOWHLND           2.452               2.348             0.104         1.550
SST               20.073              20.270            -0.197         0.331
STRESS_MAG         0.048               0.046             0.002         0.005
SWCF             -69.116             -69.592             0.476         4.233
T_850            287.928             288.220            -0.292         0.476
TGCLDLWP         135.430             136.249            -0.818        10.943
TGCLDIWP          14.016              13.945             0.071         1.158
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS          -999.000            -999.000          -999.000      -999.000
AODDUST         -999.000            -999.000          -999.000      -999.000
TREFHT           292.622             292.885            -0.263         0.420
TS               293.205             293.467            -0.262         0.433
TS_LAND          296.428             296.746            -0.318         0.524
U_200              9.074               9.503            -0.429         1.289
VT_850             0.120               0.110             0.010         0.844
Z3_500            58.040              58.116            -0.076         0.099
