DIAG SET 1: MAM MEANS NORTHERN EXTRATROPICS (90N-20N)
 
TEST CASE: corey34 (yrs 2030-2049)
 
CONTROL CASE: b.e11.TSREFC2.f09.g16.ccmi23.003 (yrs 2030-2049)
 
Variable          corey34        b.e11.TSREFC2.f09.g16.ccmi23.003        corey34        RMSE
                                                            -b.e11.TSREFC2.f09.g16.ccmi23.003
RESTOM            18.032              17.328             0.704         2.365
RESSURF           18.008              18.098            -0.090         3.977
SOLIN            367.642             367.642             0.000         0.000
AAM           -9.990e+02          -9.990e+02        -9.990e+02      -999.000
CHI_200            0.986               1.282            -0.296         0.406
CLDHGH            24.797              24.637             0.160         1.730
CLDLOW            27.448              27.830            -0.382         1.420
CLDMED            15.249              15.106             0.144         1.107
CLDTOT            43.789              44.041            -0.251         1.735
EKE_850           33.759              33.373             0.386         1.689
EP             1.531e-02           1.810e-02        -2.788e-03         0.223
FLNS              70.171              70.034             0.137         1.711
FLNSC             93.083              92.972             0.112         1.211
FLNT             227.912             228.937            -1.025         2.148
FLNTC            251.340             252.145            -0.805         1.250
FSDS             209.945             209.307             0.638         3.452
FSDSC            268.603             268.173             0.429         0.914
FSNS             165.600             165.635            -0.034         3.187
FSNSC            215.165             215.502            -0.337         2.799
FSNSC_ICE         48.508              48.884            -0.376         3.666
FSNSC_LAND       193.933             194.201            -0.268         2.846
FSNT             245.944             246.265            -0.321         2.825
FSNTC            290.456             291.080            -0.624         2.678
ICEAREA           14.527              14.182             0.345         0.032
LHFLX             52.988              53.130            -0.142         3.040
LWCF              23.428              23.209             0.219         1.450
PRECT              1.781               1.783            -0.003         0.219
PRECT_LAND         1.521               1.515             0.006         0.205
PRECT_OCEAN        2.244               2.248            -0.004         0.249
PREH2O            15.052              15.343            -0.292         0.611
PREH2O_OCEAN      20.804              21.162            -0.358         0.771
PSI_200           -7.950              -7.840            -0.110         0.174
PS               976.936             977.151            -0.216         0.627
PSL             1015.833            1016.041            -0.208         0.632
QFLX               1.796               1.802            -0.005         0.094
SHFLX             24.434              24.373             0.061         1.843
SNOWHLND           6.601               6.424             0.177         1.677
SST               16.429              16.611            -0.182         0.300
STRESS_MAG         0.047               0.048            -0.002         0.007
SWCF             -44.513             -44.816             0.303         2.732
T_850            277.123             277.470            -0.346         0.523
TGCLDLWP         115.709             116.499            -0.790         8.968
TGCLDIWP          20.559              20.292             0.267         1.328
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS          -999.000            -999.000          -999.000      -999.000
AODDUST         -999.000            -999.000          -999.000      -999.000
TREFHT           281.786             282.129            -0.344         0.583
TS               282.313             282.653            -0.340         0.593
TS_LAND          280.735             281.067            -0.331         0.574
U_200             20.658              21.012            -0.354         1.439
VT_850             0.467               0.451             0.016         0.837
Z3_500            56.106              56.193            -0.087         0.127
