DIAG SET 1: SON MEANS NORTHERN EXTRATROPICS (90N-20N)
 
TEST CASE: corey34 (yrs 2030-2049)
 
CONTROL CASE: b.e11.TSREFC2.f09.g16.ccmi23.003 (yrs 2030-2049)
 
Variable          corey34        b.e11.TSREFC2.f09.g16.ccmi23.003        corey34        RMSE
                                                            -b.e11.TSREFC2.f09.g16.ccmi23.003
RESTOM           -67.827             -68.523             0.696         1.797
RESSURF          -36.467             -36.531             0.064         4.487
SOLIN            239.469             239.469             0.000         0.000
AAM           -9.990e+02          -9.990e+02        -9.990e+02      -999.000
CHI_200           -1.293              -1.218            -0.075         0.334
CLDHGH            24.839              24.837             0.003         1.736
CLDLOW            29.128              29.524            -0.396         1.731
CLDMED            15.000              14.939             0.061         1.131
CLDTOT            44.718              44.946            -0.228         1.881
EKE_850           30.272              30.621            -0.349         1.477
EP             5.677e-03           2.777e-03         2.900e-03         0.285
FLNS              64.353              64.119             0.234         1.790
FLNSC             87.151              87.093             0.059         1.479
FLNT             232.133             232.831            -0.698         2.275
FLNTC            256.071             256.790            -0.718         1.374
FSDS             129.146             128.726             0.420         2.724
FSDSC            168.518             168.226             0.291         0.570
FSNS             110.771             110.559             0.212         2.473
FSNSC            145.277             145.249             0.028         1.289
FSNSC_ICE         10.079              10.174            -0.095         3.510
FSNSC_LAND       129.340             129.261             0.079         0.991
FSNT             164.306             164.308            -0.002         2.267
FSNTC            197.258             197.453            -0.195         1.197
ICEAREA            9.084               8.458             0.627         0.074
LHFLX             65.405              65.549            -0.143         3.973
LWCF              23.938              23.959            -0.021         1.643
PRECT              2.224               2.233            -0.009         0.249
PRECT_LAND         1.648               1.653            -0.006         0.203
PRECT_OCEAN        2.958               2.962            -0.004         0.297
PREH2O            19.787              20.162            -0.375         0.734
PREH2O_OCEAN      26.492              26.934            -0.441         0.910
PSI_200           -6.120              -6.341             0.221         0.272
PS               977.024             977.234            -0.210         0.622
PSL             1015.952            1016.155            -0.203         0.622
QFLX               2.230               2.236            -0.006         0.114
SHFLX             17.480              17.423             0.057         1.671
SNOWHLND           2.682               2.578             0.104         1.598
SST               19.728              19.932            -0.205         0.323
STRESS_MAG         0.048               0.047             0.001         0.005
SWCF             -32.952             -33.145             0.193         2.274
T_850            279.418             279.692            -0.273         0.494
TGCLDLWP         130.153             132.352            -2.199        10.387
TGCLDIWP          19.118              19.059             0.060         1.307
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS          -999.000            -999.000          -999.000      -999.000
AODDUST         -999.000            -999.000          -999.000      -999.000
TREFHT           284.499             284.843            -0.345         0.676
TS               285.077             285.422            -0.346         0.714
TS_LAND          280.917             281.229            -0.312         0.595
U_200             17.779              18.147            -0.368         1.475
VT_850             0.140               0.123             0.017         0.810
Z3_500            56.680              56.760            -0.080         0.121
