DIAG SET 1: ANN MEANS SOUTHERN EXTRATROPICS (90S-20S)
 
TEST CASE: corey34 (yrs 2030-2049)
 
CONTROL CASE: b.e11.TSREFC2.f09.g16.ccmi23.003 (yrs 2030-2049)
 
Variable          corey34        b.e11.TSREFC2.f09.g16.ccmi23.003        corey34        RMSE
                                                            -b.e11.TSREFC2.f09.g16.ccmi23.003
RESTOM           -23.389             -21.040            -2.349         7.173
RESSURF           -4.713              -3.522            -1.191         3.951
SOLIN            305.490             305.490             0.000         0.000
AAM           -9.990e+02          -9.990e+02        -9.990e+02      -999.000
CHI_200            0.796               0.636             0.160         0.254
CLDHGH            25.446              25.371             0.075         1.170
CLDLOW            39.406              39.726            -0.321         1.355
CLDMED            15.815              15.635             0.180         1.001
CLDTOT            53.490              53.662            -0.172         1.208
EKE_850           44.713              44.153             0.560         1.570
EP             9.893e-02           1.100e-01        -1.108e-02         0.226
FLNS              60.371              59.414             0.957         1.581
FLNSC             89.297              88.157             1.139         1.732
FLNT             224.721             226.289            -1.567         2.033
FLNTC            249.060             250.691            -1.631         1.756
FSDS             168.503             166.704             1.799         3.490
FSDSC            226.846             225.719             1.128         1.518
FSNS             138.387             142.025            -3.638         8.057
FSNSC            188.589             194.211            -5.622        11.441
FSNSC_ICE         61.090              60.469             0.621         4.399
FSNSC_LAND       129.987             129.835             0.152         0.557
FSNT             201.332             205.249            -3.916         7.794
FSNTC            247.024             252.917            -5.893        11.108
ICEAREA           12.250              11.103             1.147         0.059
LHFLX             70.335              73.698            -3.364         6.701
LWCF              24.338              24.402            -0.064         1.113
PRECT              2.279               2.384            -0.105         0.273
PRECT_LAND         1.653               1.702            -0.049         0.156
PRECT_OCEAN        2.461               2.577            -0.117         0.306
PREH2O            16.942              18.129            -1.187         1.505
PREH2O_OCEAN      19.351              20.579            -1.229         1.679
PSI_200            7.256               7.249             0.008         0.085
PS               983.524             983.508             0.016         0.523
PSL             1007.249            1007.195             0.054         0.533
QFLX               2.378               2.494            -0.116         0.222
SHFLX             12.394              12.435            -0.041         1.728
SNOWHLND          46.988              46.951             0.037         1.008
SST               14.676              15.490            -0.814         0.904
STRESS_MAG         0.093               0.092             0.001         0.006
SWCF             -45.691             -47.668             1.977         4.073
T_850            276.012             276.778            -0.766         0.806
TGCLDLWP         141.231             144.043            -2.813         8.519
TGCLDIWP          20.577              20.122             0.455         1.085
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS          -999.000            -999.000          -999.000      -999.000
AODDUST         -999.000            -999.000          -999.000      -999.000
TREFHT           281.032             281.819            -0.787         0.852
TS               281.566             282.378            -0.812         0.903
TS_LAND          266.316             266.997            -0.681         0.734
U_200             25.496              25.344             0.152         1.011
VT_850            -0.216              -0.216            -0.000         0.477
Z3_500            55.164              55.329            -0.165         0.176
