DIAG SET 1: JJA MEANS SOUTHERN EXTRATROPICS (90S-20S)
 
TEST CASE: corey34 (yrs 2030-2049)
 
CONTROL CASE: b.e11.TSREFC2.f09.g16.ccmi23.003 (yrs 2030-2049)
 
Variable          corey34        b.e11.TSREFC2.f09.g16.ccmi23.003        corey34        RMSE
                                                            -b.e11.TSREFC2.f09.g16.ccmi23.003
RESTOM          -110.742            -110.444            -0.298         4.108
RESSURF          -82.723             -83.592             0.869         7.523
SOLIN            154.664             154.664             0.000         0.000
AAM           -9.990e+02          -9.990e+02        -9.990e+02      -999.000
CHI_200            4.598               4.356             0.242         0.482
CLDHGH            31.353              31.242             0.111         1.976
CLDLOW            37.668              38.295            -0.627         1.722
CLDMED            17.741              17.547             0.194         1.382
CLDTOT            56.150              56.425            -0.274         1.489
EKE_850           56.090              55.765             0.325         2.338
EP             1.730e-01           1.822e-01        -9.188e-03         0.296
FLNS              63.074              62.201             0.872         1.773
FLNSC             92.294              91.550             0.744         1.724
FLNT             214.508             216.089            -1.580         2.431
FLNTC            241.377             243.016            -1.639         1.901
FSDS              81.626              80.694             0.932         2.232
FSDSC            108.990             108.426             0.564         0.858
FSNS              70.978              72.698            -1.721         4.328
FSNSC             94.459              97.143            -2.685         6.072
FSNSC_ICE          2.634               2.419             0.215         0.356
FSNSC_LAND        77.458              77.200             0.258         0.512
FSNT             103.766             105.644            -1.878         4.232
FSNTC            126.459             129.312            -2.853         5.957
ICEAREA           15.779              14.446             1.333         0.085
LHFLX             77.140              80.458            -3.318         7.724
LWCF              26.868              26.927            -0.059         1.693
PRECT              2.421               2.527            -0.106         0.340
PRECT_LAND         0.895               0.914            -0.018         0.188
PRECT_OCEAN        2.851               2.970            -0.120         0.382
PREH2O            13.370              14.296            -0.926         1.209
PREH2O_OCEAN      15.869              16.867            -0.999         1.367
PSI_200            7.195               7.343            -0.148         0.210
PS               983.634             983.706            -0.072         0.776
PSL             1007.644            1007.677            -0.034         0.804
QFLX               2.594               2.709            -0.115         0.254
SHFLX             13.487              13.630            -0.144         3.008
SNOWHLND          47.009              46.973             0.035         1.032
SST               13.164              13.904            -0.740         0.822
STRESS_MAG         0.104               0.103             0.002         0.009
SWCF             -22.693             -23.667             0.974         2.398
T_850            273.138             273.920            -0.782         0.846
TGCLDLWP         140.163             144.119            -3.956        11.555
TGCLDIWP          23.408              22.988             0.420         1.691
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS          -999.000            -999.000          -999.000      -999.000
AODDUST         -999.000            -999.000          -999.000      -999.000
TREFHT           277.915             278.702            -0.787         0.907
TS               278.493             279.304            -0.811         0.963
TS_LAND          259.102             259.740            -0.637         0.720
U_200             30.205              30.185             0.020         1.843
VT_850            -0.373              -0.375             0.002         0.848
Z3_500            54.556              54.724            -0.167         0.203
