DIAG SET 1: MAM MEANS SOUTHERN EXTRATROPICS (90S-20S)
 
TEST CASE: corey34 (yrs 2030-2049)
 
CONTROL CASE: b.e11.TSREFC2.f09.g16.ccmi23.003 (yrs 2030-2049)
 
Variable          corey34        b.e11.TSREFC2.f09.g16.ccmi23.003        corey34        RMSE
                                                            -b.e11.TSREFC2.f09.g16.ccmi23.003
RESTOM           -69.574             -68.442            -1.132         5.811
RESSURF          -43.890             -43.945             0.055         5.989
SOLIN            232.634             232.634             0.000         0.000
AAM           -9.990e+02          -9.990e+02        -9.990e+02      -999.000
CHI_200           -0.331              -0.637             0.306         0.351
CLDHGH            24.113              23.999             0.114         1.661
CLDLOW            38.719              39.064            -0.345         1.744
CLDMED            16.266              16.058             0.208         1.243
CLDTOT            51.948              52.200            -0.252         1.676
EKE_850           42.790              42.231             0.560         2.373
EP             1.278e-01           1.425e-01        -1.463e-02         0.347
FLNS              59.356              58.099             1.258         2.243
FLNSC             87.295              85.810             1.484         2.344
FLNT             225.842             227.669            -1.827         2.657
FLNTC            250.340             252.129            -1.789         2.018
FSDS             123.245             121.780             1.464         3.403
FSDSC            167.559             166.626             0.932         1.341
FSNS             106.759             109.422            -2.663         6.715
FSNSC            145.544             149.709            -4.164         9.090
FSNSC_ICE         21.797              21.210             0.587         3.519
FSNSC_LAND       103.709             103.599             0.110         0.424
FSNT             156.268             159.227            -2.959         6.560
FSNTC            192.885             197.357            -4.472         8.948
ICEAREA            8.975               7.920             1.055         0.070
LHFLX             79.049              83.093            -4.045         8.568
LWCF              24.498              24.460             0.039         1.548
PRECT              2.547               2.672            -0.124         0.378
PRECT_LAND         1.547               1.613            -0.066         0.272
PRECT_OCEAN        2.799               2.935            -0.135         0.410
PREH2O            18.517              19.967            -1.450         1.849
PREH2O_OCEAN      20.829              22.311            -1.483         1.994
PSI_200            7.896               7.628             0.267         0.296
PS               983.458             983.571            -0.112         0.667
PSL             1007.321            1007.400            -0.079         0.649
QFLX               2.675               2.814            -0.139         0.279
SHFLX             12.244              12.176             0.068         2.282
SNOWHLND          46.965              46.925             0.041         1.071
SST               15.658              16.530            -0.872         0.976
STRESS_MAG         0.092               0.091             0.001         0.008
SWCF             -36.617             -38.130             1.512         3.494
T_850            276.956             277.783            -0.827         0.897
TGCLDLWP         145.285             148.112            -2.827        10.758
TGCLDIWP          20.914              20.295             0.618         1.397
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS          -999.000            -999.000          -999.000      -999.000
AODDUST         -999.000            -999.000          -999.000      -999.000
TREFHT           281.874             282.755            -0.882         0.987
TS               282.466             283.374            -0.908         1.048
TS_LAND          263.953             264.765            -0.812         0.942
U_200             24.725              24.282             0.443         1.568
VT_850            -0.155              -0.147            -0.008         0.772
Z3_500            55.345              55.541            -0.196         0.207
