DIAG SET 1: SON MEANS SOUTHERN EXTRATROPICS (90S-20S)
 
TEST CASE: corey34 (yrs 2030-2049)
 
CONTROL CASE: b.e11.TSREFC2.f09.g16.ccmi23.003 (yrs 2030-2049)
 
Variable          corey34        b.e11.TSREFC2.f09.g16.ccmi23.003        corey34        RMSE
                                                            -b.e11.TSREFC2.f09.g16.ccmi23.003
RESTOM            17.082              20.786            -3.704         9.099
RESSURF           28.749              31.455            -2.706         6.826
SOLIN            367.302             367.302             0.000         0.000
AAM           -9.990e+02          -9.990e+02        -9.990e+02      -999.000
CHI_200            1.760               1.732             0.028         0.249
CLDHGH            25.149              25.008             0.141         1.759
CLDLOW            38.956              39.059            -0.103         1.551
CLDMED            15.460              15.248             0.211         1.414
CLDTOT            52.942              52.876             0.066         1.708
EKE_850           43.298              42.189             1.109         2.292
EP             1.216e-01           1.335e-01        -1.197e-02         0.245
FLNS              62.453              61.990             0.463         1.682
FLNSC             91.553              90.786             0.767         1.495
FLNT             222.919             224.397            -1.479         2.199
FLNTC            246.336             247.878            -1.543         1.689
FSDS             208.665             206.803             1.862         4.878
FSDSC            277.556             276.308             1.248         1.754
FSNS             166.406             171.434            -5.028        10.101
FSNSC            224.629             231.958            -7.329        14.718
FSNSC_ICE         62.695              62.584             0.111         6.382
FSNSC_LAND       149.563             149.365             0.198         0.603
FSNT             240.001             245.183            -5.182         9.623
FSNTC            291.882             299.347            -7.465        14.114
ICEAREA           16.048              14.791             1.256         0.078
LHFLX             62.251              65.065            -2.815         5.819
LWCF              23.417              23.481            -0.064         1.468
PRECT              1.971               2.055            -0.084         0.280
PRECT_LAND         1.496               1.538            -0.042         0.212
PRECT_OCEAN        2.095               2.187            -0.092         0.307
PREH2O            14.933              15.833            -0.899         1.223
PREH2O_OCEAN      17.199              18.142            -0.943         1.386
PSI_200            7.260               7.406            -0.146         0.184
PS               983.284             983.169             0.115         0.819
PSL             1006.991            1006.830             0.161         0.874
QFLX               2.092               2.189            -0.096         0.192
SHFLX             12.954              12.923             0.030         2.156
SNOWHLND          47.023              46.992             0.031         0.957
SST               13.043              13.790            -0.747         0.829
STRESS_MAG         0.102               0.102            -0.001         0.009
SWCF             -51.881             -54.163             2.283         5.721
T_850            274.799             275.474            -0.674         0.729
TGCLDLWP         134.590             136.935            -2.345        10.294
TGCLDIWP          21.097              20.770             0.327         1.499
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS          -999.000            -999.000          -999.000      -999.000
AODDUST         -999.000            -999.000          -999.000      -999.000
TREFHT           279.655             280.356            -0.701         0.778
TS               280.139             280.860            -0.721         0.825
TS_LAND          266.531             267.053            -0.522         0.659
U_200             27.212              27.282            -0.070         1.176
VT_850            -0.243              -0.241            -0.002         0.753
Z3_500            54.882              55.018            -0.135         0.169
