DIAG SET 1: ANN MEANS TROPICS (20N-20S)
 
TEST CASE: corey34 (yrs 2030-2049)
 
CONTROL CASE: b.e11.TSREFC2.f09.g16.ccmi23.003 (yrs 2030-2049)
 
Variable          corey34        b.e11.TSREFC2.f09.g16.ccmi23.003        corey34        RMSE
                                                            -b.e11.TSREFC2.f09.g16.ccmi23.003
RESTOM            49.132              48.350             0.781         2.068
RESSURF           15.984              15.691             0.294         3.444
SOLIN            408.204             408.204             0.000         0.000
AAM           -9.990e+02          -9.990e+02        -9.990e+02      -999.000
CHI_200           -0.518              -0.540             0.021         0.369
CLDHGH            36.587              36.315             0.272         1.417
CLDLOW            29.400              29.192             0.208         1.390
CLDMED            16.994              16.819             0.175         1.234
CLDTOT            53.508              53.195             0.313         1.366
EKE_850           15.293              14.997             0.297         0.999
EP            -8.558e-02          -8.705e-02         1.478e-03         0.400
FLNS              52.588              51.797             0.792         1.403
FLNSC             68.981              67.646             1.335         1.694
FLNT             244.150             245.420            -1.270         2.355
FLNTC            283.259             284.203            -0.944         1.112
FSDS             215.513             215.460             0.053         2.945
FSDSC            292.403             291.609             0.795         0.877
FSNS             200.026             199.950             0.077         2.728
FSNSC            272.348             271.601             0.747         0.829
FSNSC_ICE       -999.000            -999.000          -999.000      -999.000
FSNSC_LAND       245.944             245.051             0.893         1.019
FSNT             293.282             293.770            -0.489         2.584
FSNTC            362.118             362.072             0.046         0.224
ICEAREA            0.000               0.000             0.000      -999.000
LHFLX            114.353             115.464            -1.111         3.763
LWCF              39.108              38.783             0.326         1.608
PRECT              4.047               4.087            -0.040         0.382
PRECT_LAND         4.248               4.216             0.032         0.316
PRECT_OCEAN        3.977               4.041            -0.063         0.400
PREH2O            42.367              43.841            -1.474         1.682
PREH2O_OCEAN      43.960              45.565            -1.605         1.793
PSI_200           -0.733              -0.626            -0.107         0.123
PS               995.874             995.938            -0.064         0.217
PSL             1010.589            1010.646            -0.056         0.209
QFLX               3.962               4.000            -0.039         0.104
SHFLX             17.101              16.999             0.102         1.508
SNOWHLND           0.000               0.000             0.000         0.000
SST               27.239              27.731            -0.492         0.533
STRESS_MAG         0.055               0.053             0.002         0.005
SWCF             -68.836             -68.302            -0.534         2.675
T_850            290.307             290.822            -0.515         0.538
TGCLDLWP         138.221             137.398             0.823         8.022
TGCLDIWP          12.073              11.799             0.275         0.822
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS          -999.000            -999.000          -999.000      -999.000
AODDUST         -999.000            -999.000          -999.000      -999.000
TREFHT           299.012             299.500            -0.488         0.520
TS               299.969             300.457            -0.488         0.525
TS_LAND          298.473             298.963            -0.490         0.513
U_200              3.061               3.175            -0.114         0.754
VT_850             0.421               0.284             0.137         0.383
Z3_500            58.609              58.730            -0.121         0.121
