DIAG SET 1: DJF MEANS TROPICS (20N-20S)
 
TEST CASE: corey34 (yrs 2030-2049)
 
CONTROL CASE: b.e11.TSREFC2.f09.g16.ccmi23.003 (yrs 2030-2049)
 
Variable          corey34        b.e11.TSREFC2.f09.g16.ccmi23.003        corey34        RMSE
                                                            -b.e11.TSREFC2.f09.g16.ccmi23.003
RESTOM            53.974              52.639             1.334         3.156
RESSURF           16.061              15.176             0.885         5.835
SOLIN            413.168             413.168             0.000         0.000
AAM           -9.990e+02          -9.990e+02        -9.990e+02      -999.000
CHI_200           -0.542              -0.569             0.027         0.516
CLDHGH            38.347              37.760             0.587         2.387
CLDLOW            27.778              27.550             0.228         1.648
CLDMED            17.577              17.583            -0.007         1.650
CLDTOT            53.451              52.961             0.490         2.058
EKE_850           11.494              11.375             0.119         1.228
EP            -1.162e-01          -1.128e-01        -3.384e-03         0.601
FLNS              54.715              53.930             0.785         1.723
FLNSC             70.829              69.445             1.384         1.940
FLNT             242.060             243.587            -1.527         3.507
FLNTC            282.582             283.572            -0.990         1.297
FSDS             218.917             218.625             0.293         4.485
FSDSC            296.153             295.439             0.714         1.067
FSNS             203.041             202.752             0.290         4.187
FSNSC            275.707             275.036             0.671         0.978
FSNSC_ICE       -999.000            -999.000          -999.000      -999.000
FSNSC_LAND       248.792             248.281             0.511         1.270
FSNT             296.034             296.226            -0.193         3.851
FSNTC            365.701             365.674             0.026         0.254
ICEAREA            0.000               0.000             0.000      -999.000
LHFLX            116.013             117.517            -1.504         5.996
LWCF              40.522              39.985             0.537         2.644
PRECT              4.139               4.188            -0.048         0.570
PRECT_LAND         4.455               4.435             0.020         0.517
PRECT_OCEAN        4.032               4.103            -0.071         0.585
PREH2O            40.873              42.362            -1.490         1.859
PREH2O_OCEAN      42.891              44.598            -1.707         2.002
PSI_200            1.428               1.511            -0.083         0.115
PS               994.858             994.898            -0.040         0.271
PSL             1009.588            1009.624            -0.035         0.268
QFLX               4.023               4.075            -0.052         0.167
SHFLX             16.252              16.129             0.124         1.723
SNOWHLND           0.000               0.000             0.000         0.001
SST               27.155              27.643            -0.488         0.531
STRESS_MAG         0.060               0.059             0.001         0.006
SWCF             -69.667             -69.448            -0.219         3.880
T_850            289.856             290.333            -0.477         0.514
TGCLDLWP         140.361             141.016            -0.655        12.355
TGCLDIWP          12.637              12.319             0.317         1.291
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS          -999.000            -999.000          -999.000      -999.000
AODDUST         -999.000            -999.000          -999.000      -999.000
TREFHT           298.681             299.142            -0.461         0.505
TS               299.603             300.053            -0.450         0.501
TS_LAND          297.183             297.523            -0.340         0.400
U_200              4.204               4.066             0.138         0.944
VT_850            -2.144              -2.248             0.104         0.529
Z3_500            58.447              58.567            -0.120         0.121
