DIAG SET 1: JJA MEANS TROPICS (20N-20S)
 
TEST CASE: corey34 (yrs 2030-2049)
 
CONTROL CASE: b.e11.TSREFC2.f09.g16.ccmi23.003 (yrs 2030-2049)
 
Variable          corey34        b.e11.TSREFC2.f09.g16.ccmi23.003        corey34        RMSE
                                                            -b.e11.TSREFC2.f09.g16.ccmi23.003
RESTOM            29.716              29.140             0.576         3.070
RESSURF           -2.519              -2.718             0.199         5.246
SOLIN            389.195             389.195             0.000         0.000
AAM           -9.990e+02          -9.990e+02        -9.990e+02      -999.000
CHI_200           -0.514              -0.522             0.008         0.787
CLDHGH            34.783              34.527             0.256         2.573
CLDLOW            31.860              31.743             0.118         2.018
CLDMED            16.858              16.443             0.415         2.085
CLDTOT            54.027              53.790             0.237         2.348
EKE_850           11.010              10.534             0.476         1.016
EP             8.868e-02           1.080e-01        -1.931e-02         0.713
FLNS              50.976              50.085             0.891         1.881
FLNSC             67.760              66.310             1.450         1.929
FLNT             245.523             246.964            -1.441         3.701
FLNTC            283.317             284.375            -1.058         1.365
FSDS             198.624             198.870            -0.245         4.918
FSDSC            276.408             275.433             0.976         1.319
FSNS             184.208             184.363            -0.155         4.502
FSNSC            257.099             256.179             0.920         1.262
FSNSC_ICE       -999.000            -999.000          -999.000      -999.000
FSNSC_LAND       232.252             230.886             1.367         1.887
FSNT             275.239             276.104            -0.865         4.451
FSNTC            344.516             344.427             0.089         0.333
ICEAREA            0.000               0.000             0.000      -999.000
LHFLX            118.805             120.129            -1.324         5.791
LWCF              37.794              37.411             0.383         2.907
PRECT              4.004               4.028            -0.024         0.686
PRECT_LAND         3.509               3.428             0.081         0.477
PRECT_OCEAN        4.152               4.209            -0.057         0.740
PREH2O            42.914              44.472            -1.558         1.865
PREH2O_OCEAN      44.421              46.094            -1.673         1.974
PSI_200           -3.072              -2.953            -0.119         0.174
PS               997.323             997.361            -0.038         0.225
PSL             1012.074            1012.100            -0.026         0.218
QFLX               4.092               4.136            -0.043         0.151
SHFLX             16.946              16.867             0.079         2.029
SNOWHLND           0.000               0.000             0.000         0.000
SST               27.056              27.559            -0.504         0.556
STRESS_MAG         0.072               0.070             0.001         0.006
SWCF             -69.277             -68.323            -0.954         4.629
T_850            290.143             290.726            -0.583         0.618
TGCLDLWP         148.384             145.983             2.401        14.697
TGCLDIWP          11.856              11.524             0.331         1.405
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS          -999.000            -999.000          -999.000      -999.000
AODDUST         -999.000            -999.000          -999.000      -999.000
TREFHT           298.854             299.391            -0.537         0.582
TS               299.746             300.280            -0.533         0.590
TS_LAND          298.105             298.751            -0.647         0.703
U_200              0.621               1.283            -0.661         1.411
VT_850             3.106               2.918             0.187         0.559
Z3_500            58.752              58.880            -0.128         0.129
