DIAG SET 1: MAM MEANS TROPICS (20N-20S)
 
TEST CASE: corey34 (yrs 2030-2049)
 
CONTROL CASE: b.e11.TSREFC2.f09.g16.ccmi23.003 (yrs 2030-2049)
 
Variable          corey34        b.e11.TSREFC2.f09.g16.ccmi23.003        corey34        RMSE
                                                            -b.e11.TSREFC2.f09.g16.ccmi23.003
RESTOM            56.986              56.266             0.721         2.855
RESSURF           23.482              23.670            -0.188         5.067
SOLIN            412.713             412.713             0.000         0.000
AAM           -9.990e+02          -9.990e+02        -9.990e+02      -999.000
CHI_200           -0.600              -0.608             0.008         0.495
CLDHGH            37.951              37.749             0.202         2.454
CLDLOW            27.784              27.538             0.246         1.741
CLDMED            16.411              16.284             0.127         1.904
CLDTOT            53.097              52.829             0.267         2.035
EKE_850           10.411              10.138             0.273         1.284
EP            -8.154e-02          -1.032e-01         2.166e-02         0.667
FLNS              52.891              52.180             0.711         1.824
FLNSC             68.732              67.583             1.148         1.883
FLNT             243.696             244.765            -1.068         3.758
FLNTC            283.907             284.730            -0.823         1.381
FSDS             222.549             222.418             0.130         4.375
FSDSC            295.798             295.125             0.672         0.926
FSNS             206.447             206.304             0.143         4.081
FSNSC            275.488             274.849             0.638         0.842
FSNSC_ICE       -999.000            -999.000          -999.000      -999.000
FSNSC_LAND       247.665             246.984             0.681         0.978
FSNT             300.683             301.030            -0.348         3.816
FSNTC            366.393             366.344             0.049         0.286
ICEAREA            0.000               0.000             0.000      -999.000
LHFLX            112.805             113.198            -0.393         5.673
LWCF              40.211              39.966             0.245         2.805
PRECT              3.989               4.028            -0.038         0.627
PRECT_LAND         4.311               4.277             0.034         0.549
PRECT_OCEAN        3.884               3.944            -0.060         0.649
PREH2O            43.122              44.484            -1.362         1.789
PREH2O_OCEAN      44.844              46.339            -1.495         1.888
PSI_200           -0.010               0.144            -0.155         0.192
PS               995.582             995.562             0.020         0.213
PSL             1010.274            1010.245             0.029         0.209
QFLX               3.908               3.924            -0.016         0.144
SHFLX             17.270              17.256             0.014         1.986
SNOWHLND           0.000               0.000             0.000         0.000
SST               27.728              28.189            -0.460         0.519
STRESS_MAG         0.054               0.051             0.002         0.006
SWCF             -65.711             -65.314            -0.397         3.900
T_850            290.851             291.338            -0.487         0.516
TGCLDLWP         125.680             124.754             0.926        12.091
TGCLDIWP          11.985              11.790             0.195         1.367
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS          -999.000            -999.000          -999.000      -999.000
AODDUST         -999.000            -999.000          -999.000      -999.000
TREFHT           299.498             299.951            -0.453         0.502
TS               300.533             300.994            -0.461         0.517
TS_LAND          299.312             299.793            -0.481         0.527
U_200              5.937               5.266             0.671         1.088
VT_850             0.328               0.201             0.127         0.487
Z3_500            58.641              58.746            -0.105         0.106
